title,ingredients,instructions,yield,time,notes,author,source_url,error
Slow Cooker Thai Chicken Soup,"['2 tablespoons red curry paste', '2-12 ounce cans of coconut milk', 'Chicken Broth', 'Fish sauce', 'Brown sugar', 'Peanut butter', 'Chicken breasts', 'Red bell pepper', 'Onion', 'Fresh ginger', 'Frozen peas', 'Lime juice', 'Cooked white rice', 'Fresh cilantro']","['Add all the ingredients but the lime juice, cilantro, rice, and peas to your slow cooker.', 'Pop the lid on, turn the slow cooker to High, and let the Thai soup cook for 4 hours.', 'After 4 hours, stir in the peas and let the crockpot chicken soup cook for another 30 minutes.', 'Serve the Thai coconut chicken soup over white rice with a sprinkle of fresh cilantro on top.']",Servings 6,"{'prep': '10 minutes', 'cook': '4 hours 30 minutes', 'total': '4 hours 40 minutes'}","['For the best flavor, use freshly grated ginger and freshly squeezed lime juice.', 'To avoid coconut milk and broth separation, use full-fat coconut milk.']",Heidi Larsen,https://www.foodiecrush.com/slow-cooker-thai-chicken-soup/,
,,,,,,,http://whatsgabycooking.com/skillet-chipotle-chicken-enchilada-bake/,Expecting value: line 1 column 1 (char 0)
,,,,,,,http://t.co/FNXewxX7xi,Expecting value: line 1 column 1 (char 0)
Zahav’s Hummus ‘Tehina’,"['1 cup dried chickpeas', '2 teaspoons baking soda, divided', '1 1/2 cups basic tehina sauce (recipe follows)', '1 tablespoon salt', '1/4 teaspoon ground cumin', '1/4 teaspoon sweet paprika', '1/4 cup extra-virgin olive oil', '1 tablespoon chopped fresh parsley']","['Step 1: Place the chickpeas in a large bowl with 1 teaspoon of the baking soda and cover with water by at least 4 inches. Cover the bowl and soak the chickpeas overnight at room temperature.', 'Step 2: Drain and rinse the chickpeas, then transfer them to a large pot. Add the remaining teaspoon of baking soda and enough water to cover the chickpeas by 2 inches.', 'Step 3: Bring to a boil over high heat, then reduce the heat to medium-low and simmer, skimming off any foam and skins that rise to the surface, until the chickpeas are very tender, 45 minutes to 1 hour.', 'Step 4: Drain the chickpeas, reserving 1 cup of the cooking liquid. Transfer the chickpeas to a food processor and add the tehina sauce, salt, cumin, and paprika.', 'Step 5: Process the mixture until very smooth, adding the reserved cooking liquid a tablespoon at a time if needed to achieve a creamy consistency.', 'Step 6: Transfer the hummus to a bowl, drizzle with olive oil, and sprinkle with parsley before serving.']",4 cups,"{'prep': '10 minutes', 'cook': '1 hour', 'total': '1 hour 10 minutes'}",This hummus is best served fresh but can be stored in an airtight container in the refrigerator for up to 3 days.,Reem Kassis,http://cooking.nytimes.com/recipes/1017734-zahavs-hummus-tehina?smid=tw-nytfood&smtyp=cur,
,[],[],,"{'prep': None, 'cook': None, 'total': None}",Failed to fetch webpage content due to a connection error.,,http://m.fastcompany.com/3047455/hit-the-ground-running/why-emotionally-intelligent-people-are-more-successful?utm_campaign=trueanthem:+trending+content&utm_content=5620433404d3011fe3000001&utm_medium=trueanthem&utm_source=twitter,
Pegboard Is A Storage Savior For Small Kitchens. Here's Why,[],[],,"{'prep': None, 'cook': None, 'total': None}",The content primarily discusses the benefits of using a pegboard for storage in small kitchens rather than providing a recipe.,Nathan Legare,http://www.tastingtable.com/entry_detail/national/18425/biodynamic_winemaker_deirdre_heekin_puts_vermont_wine_on_th.htm?utm_campaign=trueAnthem&utm_content=5620476804d30121c6000001&utm_medium=social&utm_source=twitter,
Peanut Butter Cookies,[],[],,"{'prep': None, 'cook': None, 'total': None}",Failed to fetch the recipe content due to a connection error.,,http://munchies.vice.com/recipes/peanut-butter-cookies?utm_source=munchiestwitterusvn,
Blistered Green Beans With Fried Shallots,"['Green beans', 'Shallots', 'Salt', 'Extra virgin olive oil', 'Red pepper flakes', 'Chopped capers']","['Heat olive oil in a pan over medium-high heat.', 'Add green beans and let them cook without stirring for a few minutes to develop black spots.', 'Stir in shallots and continue to cook until the shallots are crispy.', 'Season with salt, red pepper flakes, and chopped capers.', 'Serve warm.']",Serves 4,"{'prep': '5 minutes', 'cook': '10 minutes', 'total': '15 minutes'}","The charring gives the green beans a smoky dimension, complementing their sweet snap.",Joe Sevier and Bon Appétit Staff & Contributors,http://www.bonappetit.com/recipes/slideshow/green-beans-thanksgiving-side?mbid=social_twitter#11,
,,,,,,,https://www.bonappetit.com/best,Expecting value: line 1 column 1 (char 0)
Sautéed Collards and Cabbage with Gremolata,"['¾ cup parsley (finely chopped)', '1 ½ teaspoons minced garlic (plus 2 thinly sliced garlic cloves)', '1 tablespoon lemon zest (plus 1/4 cup fresh lemon juice finely grated)', '½ cup extra-virgin olive oil (plus 2 tablespoons)', 'Kosher salt', 'Black pepper', '4 shallots (3/4 cup halved and thinly sliced)', '1 ½ pounds green cabbage (9 cups cored and sliced 1/4 inch thick)', '1 ½ pounds collard greens (12 cups stems discarded, leaves sliced 1/4 inch thick)', '¾ teaspoon crushed red pepper']","['In a small bowl, combine the parsley, minced garlic, lemon zest, 3 tablespoons of the lemon juice and 6 tablespoons of the olive oil. Season with salt and black pepper and mix well.', 'In a large pot, heat 2 tablespoons of the olive oil. Add the shallots and sliced garlic and cook over moderate heat, stirring occasionally, until light golden, about 5 minutes.', 'Add the green cabbage, collard greens and the remaining 2 tablespoons of olive oil and season with salt and black pepper. Cook over moderately high heat, stirring, until the collards and cabbage are wilted and crisp-tender, 7 to 8 minutes.', 'Stir in the crushed red pepper and the remaining 1 tablespoon of lemon juice. Transfer the greens to a platter, top with the gremolata and serve.']",12,"{'prep': None, 'cook': None, 'total': '45 mins'}",The gremolata can be made up to 3 hours ahead and kept covered at room temperature.,Carla Hall,http://www.foodandwine.com/recipes/sauteed-collards-and-cabbage-gremolata,
French Onion Soup Recipe,"['2 pounds sweet white onions (such as Vidalia), halved and thinly sliced (2 large onions)', '¾ pound shallots, thinly sliced (8 to 10 small shallots)', '2 thyme sprigs', '1 garlic clove, smashed', '1 bay leaf', '3 tablespoons unsalted butter', '¾ teaspoon kosher salt, plus more to taste', '8 cups low-sodium beef broth', 'Freshly ground black pepper, to taste', '1 large baguette, cut into ½-inch-thick slices', '8 ounces Gruyère cheese, thinly sliced or grated']","['In a slow cooker, combine the onions, shallots, thyme, garlic, bay leaf and butter, and season with salt. Turn the slow cooker on high and cook until the onions are very soft and the garlic has disintegrated, 3 hours.', 'Add the beef broth, season with a pinch of black pepper and continue to cook on high for 2 hours more. Makes about 10 cups French onion soup.', 'Meanwhile, about 30 minutes before serving, adjust the oven rack to the top portion and preheat the oven to 425°F.', 'On an aluminum foil-lined baking sheet, arrange 8 to 12 bread slices in a single layer and toast in the preheated oven until light golden brown, 5 minutes. Set aside and increase the oven temperature to the low broil setting.', 'On the baking sheet, place 4 to 6 oven-safe bowls and fill each to the rim with soup. Top with 1 or 2 slices of toasted bread and layer with cheese, completely covering the bread.', 'Broil in the oven until the cheese is melted, 2 to 3 minutes. Serve with any extra bread for dipping.']",4 to 6 servings,"{'prep': '10 minutes', 'cook': '5.08 hours', 'total': '5 hours, 15 minutes'}","This French onion soup is extra rich, made with shallots and sweet white onions in the slow cooker.",Tasting Table Staff,https://www.tastingtable.com/cook/recipes/french-onion-soup-recipe-slow-cooker-recipes-hot-soup-recipe?utm_medium=social&utm_source=facebook&utm_campaign=organic,
Chocolate Babka,"['4 cups all-purpose flour, preferably King Arthur', '1/3 cup plus 2 tablespoons sugar', '2 teaspoons fine sea salt', '1 cup whole milk, warmed', '1 packet dry active yeast', '1 large egg plus 1 large egg yolk', '1 stick plus 2 tablespoons unsalted butter, cut into tablespoons, at room temperature', '9 ounces milk chocolate, finely chopped', '3 ounces bittersweet chocolate, finely chopped', '1 1/2 sticks unsalted butter, cubed', '1 1/2 cups finely ground chocolate wafer cookies', '3 tablespoons honey', '12 ounces bittersweet chocolate, finely chopped', '4 ounces milk chocolate, finely chopped', '1 1/2 sticks unsalted butter, cubed', '2 tablespoons light corn syrup']","['In a medium bowl, whisk the flour with the sugar and salt. In a stand mixer fitted with the dough hook, combine the milk with the yeast and let stand until foamy, about 5 minutes. Add the egg and egg yolk and sprinkle the dry ingredients on top. Mix at low speed for 2 minutes. Scrape down the side of the bowl and mix at medium speed until all of the dry ingredients are incorporated and the dough is smooth, about 5 minutes.', 'Add all of the butter at once and mix at low speed until it is fully incorporated and a tacky dough forms, about 3 minutes; scrape down the side of the bowl as needed during mixing. Cover the bowl with plastic wrap and let the dough stand at room temperature for 1 hour.', 'Line a large baking sheet with parchment paper and coat the paper generously with nonstick baking spray. Scrape the dough out onto the parchment paper and cut the dough in half. Pat each piece into a neat square. Cover with plastic wrap and refrigerate overnight.', 'In a large heatproof bowl set over a saucepan of simmering water, melt both chocolates with the butter, stirring occasionally, until smooth. Let cool to room temperature, then stir in the cookie crumbs and honey.', 'Coat two 9- x 4-inch loaf pans with nonstick baking spray and line with parchment paper, allowing 2 inches of overhang on each of the long sides. Roll out each square of dough to a 16-inch square. Using an offset spatula, spread all but 1/2 cup of the filling in an even layer over the dough squares to within 1/2 inch of the edges.', 'Starting at the long edge nearest you, tightly roll up each dough square jelly roll–style into a tight log.', 'Using a sharp knife, cut the logs in half crosswise. Using an offset spatula, spread 1/4 cup of the reserved filling on the top and sides of two of the halves. Set the other halves on top in the opposite direction to form a cross.', 'Twist to form spirals and transfer to the prepared pans. Cover the loaves with a towel and let stand in a warm place until doubled in bulk, about 2 hours.', 'Preheat the oven to 375°F. Bake the loaves in the center of the oven for about 45 minutes, until puffed and well browned. Let cool slightly, then use the parchment paper to lift the babkas out of the pans and onto a rack set over a baking sheet. Discard the paper.', 'In a heatproof bowl set over a saucepan of simmering water, melt both chocolates with the butter; stir until smooth. Stir in the corn syrup. Spread the glaze on top of the warm babkas and let stand until set, about 30 minutes.']",2 (9-inch) babkas,"{'prep': '1 hr 15 mins', 'cook': '45 mins', 'total': '14 hrs'}","This amazing babka cake gets extra flavor in the swirl from cookie crumbs. As a bonus, it's topped with a thick, luscious chocolate glaze.",Melissa Weller,https://www.foodandwine.com/recipes/chocolate-babka,
,,,,,,,http://mobile.nytimes.com/2015/12/16/dining/best-cheap-eats-nyc-2015.html?smid=tw-nytimes&smtyp=cur&referer=https://t.co/3IpUKr0tUA,Expecting value: line 1 column 1 (char 0)
Three-Chile Harissa,"['3 ounces dried guajillo chiles (about 7 large or 15 small), seeds removed, torn into 1-inch pieces', '1 ounce chipotle chiles (about 9 medium or 14 small), seeds removed, torn into 1-inch pieces', '1 tablespoon nigella seeds', '1 teaspoon coriander seeds', '2 garlic cloves', '1 tablespoon ground cumin', '1 teaspoon kosher salt', '½ teaspoon Aleppo pepper or ¼ teaspoon crushed red pepper flakes', '½ cup olive oil', '2 tablespoons Champagne or white wine vinegar']","['Place guajillo and chipotle chiles in a large heatproof bowl and pour in boiling water to cover. Let chiles soak until softened, 40–45 minutes; drain.', 'Grind nigella seeds and coriander seeds in a spice mill or with a mortar and pestle. Transfer to a food processor and add garlic, cumin, salt, and Aleppo pepper and pulse until garlic is very finely chopped. Add chiles and pulse until they are chopped. Add oil and vinegar and pulse just until incorporated (mixture should have the texture of a coarse paste).', 'Harissa can be made 1 week ahead. Cover and chill.']",Makes about 1¾ cups,"{'prep': None, 'cook': None, 'total': None}","Nigella seeds can be found at Indian markets, some supermarkets, or online.",Jeremy Fox,http://www.bonappetit.com/recipe/three-chile-harissa/,
Buttery Breakfast Casserole,['Croissants'],[],,"{'prep': None, 'cook': None, 'total': None}",,Claire Saffitz,http://cooking.nytimes.com/recipes/1017894-buttery-breakfast-casserole,
"Potato, Sausage, and Spinach Breakfast Casserole","['16 large eggs', '1 1/4 cups heavy cream', '1 1/2 teaspoons kosher salt plus more', '3/4 teaspoon freshly ground black pepper plus more', '5 tablespoons unsalted butter, divided', '12 ounces fresh breakfast sausage links', '2 cups sliced leeks, white and green parts only', '2 russet potatoes (1 1/2 lb.), peeled, shredded, and lightly squeezed', '1 pound frozen spinach, thawed, squeezed dry, roughly chopped', '1 1/2 cups (4 oz.) grated Gruyère', '1/2 cup (1 1/2 oz.) grated Parmesan']","['Position a rack in top third of the oven; preheat to 350°. Whisk eggs, cream, 1 1/2 tsp. salt, and 3/4 tsp. pepper in a large bowl; set aside.', 'Melt 1 Tbsp. butter in a 12” cast-iron or nonstick ovenproof skillet over medium heat. Add sausages and cook, turning often, until browned all over, about 10 minutes. Transfer to a plate. Add leeks to skillet. Season with salt; cook until wilted, about 5 minutes. Transfer to a small bowl.', 'Melt 3 Tbsp. butter in same skillet over medium heat. Add potatoes, spreading out in an even layer. Cook without stirring until bottom and edges are crisp and golden brown, about 10 minutes. Slide potato pancake onto a large plate. Invert onto another large plate. Melt 1 Tbsp. butter in skillet. Slide potato pancake into skillet browned side up; cook until bottom is golden brown, about 10 minutes.', 'Scatter spinach, leeks, and sausages over potato pancake, each in an even layer. Season with salt and pepper, then pour in egg mixture. Sprinkle both cheeses over.', 'Bake until casserole is puffed and golden brown, 35–40 minutes. Serve warm or at room temperature.']",8 to 10 Servings,{'total': '1 hour'},,Bon Appétit Test Kitchen,http://www.bonappetit.com/recipe/potato-sausage-and-spinach-breakfast-casserole?mbid=social_twitter,
